Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Crs,TklW,Int,Fld,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm
28,Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,24.0,2002,27,15,1187,13.2,7,3,10,7,0,0,5,0,0.76,31,14,45.2,2.35,1.06,0.23,0.50,0,0,10,4,8,25,5,0,0,21,0,,,,,,,,,,,,,,
29,Simon Adingra,ci CIV,"MF,FW",Sunderland,eng Premier League,24.0,2002,14,9,653,7.3,1,0,1,1,0,0,2,0,0.14,6,2,33.3,0.83,0.28,0.17,0.50,0,0,27,8,2,3,2,0,0,18,0,,,,,,,,,,,,,,
30,Simon Adingra,ci CIV,"MF,FW",Monaco,fr Ligue 1,24.0,2002,12,8,723,8.0,3,1,4,3,0,0,0,0,0.50,18,5,27.8,2.24,0.62,0.17,0.60,0,0,26,7,5,7,0,0,0,7,0,,,,,,,,,,,,,,
31,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,23.0,2002,13,7,673,7.5,0,0,0,0,0,0,0,0,0.00,4,2,50.0,0.53,0.27,0.00,0.00,0,0,0,6,6,6,0,0,0,5,1,,,,,,,,,,,,,,
32,Jonas Adjetey,gh GHA,DF,Wolfsburg,de Bundesliga,22.0,2003,4,1,137,1.5,0,0,0,0,0,0,1,0,0.00,3,0,0.0,1.97,0.00,0.00,,0,0,4,1,1,0,1,0,0,4,0,,,,,,,,,,,,,,
33,Amine Adli,ma MAR,MF,Bournemouth,eng Premier League,25.0,2000,29,10,1063,11.8,3,1,4,3,0,0,2,0,0.34,20,9,45.0,1.69,0.76,0.15,0.33,0,0,39,16,5,23,2,0,0,26,0,,,,,,,,,,,,,,
34,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,19.0,2006,10,1,171,1.9,1,0,1,1,0,0,0,0,0.53,6,4,66.7,3.16,2.11,0.17,0.25,0,0,4,2,3,2,0,0,0,3,0,,,,,,,,,,,,,,
35,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,29.0,1997,33,31,2742,30.5,1,1,2,1,0,0,8,0,0.07,19,5,26.3,0.62,0.16,0.05,0.20,0,0,41,36,33,38,8,0,0,38,0,,,,,,,,,,,,,,
36,David Affengruber,at AUT,DF,Elche,es La Liga,25.0,2001,32,29,2589,28.8,1,1,2,1,0,0,6,1,0.07,12,4,33.3,0.42,0.14,0.08,0.25,0,0,8,42,45,33,6,1,0,30,0,,,,,,,,,,,,,,
37,Dapo Afolayan,eng ENG,MF,St Pauli,de Bundesliga,28.0,1997,7,1,150,1.7,0,0,0,0,0,0,1,0,0.00,4,2,50.0,2.40,1.20,0.00,0.00,0,0,10,2,0,6,1,0,0,2,0,,,,,,,,,,,,,,
38,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28.0,1997,14,12,1101,12.2,0,0,0,0,0,0,1,1,0.00,10,3,30.0,0.82,0.25,0.00,0.00,0,0,13,21,14,5,1,1,0,10,0,,,,,,,,,,,,,,
39,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,25.0,2000,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.00,0,0,,0.00,0.00,,,0,0,0,1,0,1,1,0,0,0,0,30,1.67,79,52,65.8,3,7,8,4,22.2,4,3,1,0
40,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,24.0,2002,30,28,2417,26.9,1,2,3,1,0,0,11,0,0.11,15,2,13.3,0.56,0.07,0.07,0.50,0,0,17,35,44,14,11,0,0,53,0,,,,,,,,,,,,,,
41,Felix Agu,ng NGA,"DF,MF",Werder Bremen,de Bundesliga,26.0,1999,11,9,744,8.3,0,0,0,0,0,0,1,0,0.00,2,1,50.0,0.24,0.12,0.00,0.00,0,0,14,14,11,14,1,0,0,8,0,,,,,,,,,,,,,,
42,Diego Aguado,es ESP,DF,Real Madrid,es La Liga,19.0,2007,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
43,Marc Aguado,es ESP,MF,Elche,es La Liga,26.0,2000,31,26,2153,23.9,1,2,3,1,0,0,2,0,0.13,3,2,66.7,0.13,0.08,0.33,0.50,0,0,2,24,36,23,2,0,0,20,0,,,,,,,,,,,,,,
44,Pablo Agudín,es ESP,MF,Oviedo,es La Liga,18.0,2007,6,0,78,0.9,0,0,0,0,0,0,0,0,0.00,2,0,0.0,2.31,0.00,0.00,,0,0,1,0,0,1,0,0,0,3,0,,,,,,,,,,,,,,
45,Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,30.0,1996,16,16,1396,15.5,1,0,1,1,0,0,4,0,0.06,10,2,20.0,0.64,0.13,0.10,0.50,0,0,2,16,21,6,4,0,0,21,0,,,,,,,,,,,,,,
46,Nayef Aguerd,ma MAR,DF,West Ham United,eng Premier League,30.0,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,2,0,0.0,1.00,0.00,0.00,,0,0,2,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,
47,Ruben Aguilar,fr FRA,MF,Lens,fr Ligue 1,33.0,1993,24,19,1591,17.7,2,2,4,2,0,0,5,1,0.23,13,3,23.1,0.74,0.17,0.15,0.67,0,0,84,23,21,12,5,1,1,24,0,,,,,,,,,,,,,,
48,Ibai Aguirre,es ESP,MF,Real Sociedad,es La Liga,19.0,2007,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,
49,Naouirou Ahamada,fr FRA,MF,Auxerre,fr Ligue 1,24.0,2002,13,6,502,5.6,0,0,0,0,0,0,0,0,0.00,5,1,20.0,0.90,0.18,0.00,0.00,0,0,4,7,2,6,0,0,0,4,0,,,,,,,,,,,,,,
50,Honest Ahanor,it ITA,DF,Atalanta,it Serie A,18.0,2008,19,13,1169,13.0,0,0,0,0,0,0,1,1,0.00,12,3,25.0,0.92,0.23,0.00,0.00,0,0,2,17,20,26,1,1,0,19,0,,,,,,,,,,,,,,
51,Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,31.0,1995,16,10,982,10.9,0,1,1,0,0,0,2,0,0.09,8,2,25.0,0.73,0.18,0.00,0.00,0,0,15,27,15,3,2,0,0,10,0,,,,,,,,,,,,,,
52,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,30.0,1995,8,7,639,7.1,0,0,0,0,0,0,0,0,0.00,2,0,0.0,0.28,0.00,0.00,,0,0,0,3,10,1,0,0,0,5,0,,,,,,,,,,,,,,
53,Ola Aina,ng NGA,DF,Nottingham Forest,eng Premier League,29.0,1996,18,18,1588,17.6,0,0,0,0,0,0,3,0,0.00,12,1,8.3,0.68,0.06,0.00,0.00,0,0,39,21,26,15,3,0,0,13,0,,,,,,,,,,,,,,
54,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,fr Ligue 1,20.0,2006,18,15,1223,13.6,2,1,3,2,0,0,3,1,0.22,9,4,44.4,0.66,0.29,0.22,0.50,0,0,2,10,17,8,3,1,0,11,0,,,,,,,,,,,,,,
55,Rayan Aït-Nouri,dz ALG,DF,Manchester City,eng Premier League,24.0,2001,15,11,870,9.7,0,2,2,0,0,0,2,0,0.21,9,2,22.2,0.93,0.21,0.00,0.00,0,0,19,20,13,9,2,0,0,13,0,,,,,,,,,,,,,,
56,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,27.0,1998,25,10,976,10.8,5,0,5,5,0,1,1,0,0.46,27,12,44.4,2.49,1.11,0.19,0.42,0,1,6,5,1,13,1,0,0,11,0,,,,,,,,,,,,,,
57,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,21.0,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
58,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,28.0,1998,25,18,1639,18.2,0,1,1,0,0,0,3,0,0.05,10,3,30.0,0.55,0.16,0.00,0.00,0,0,7,21,12,5,3,0,0,22,0,,,,,,,,,,,,,,
59,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,32.0,1994,29,29,2550,28.3,7,9,16,7,0,0,9,1,0.56,47,15,31.9,1.66,0.53,0.15,0.47,0,0,9,19,9,51,9,1,0,59,0,,,,,,,,,,,,,,
60,Manuel Akanji,ch SUI,DF,Inter,it Serie A,30.0,1995,33,31,2821,31.3,2,0,2,2,0,0,4,0,0.06,23,6,26.1,0.73,0.19,0.09,0.33,0,0,3,24,37,18,4,0,0,26,0,,,,,,,,,,,,,,
61,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,31.0,1995,15,4,496,5.5,0,0,0,0,0,0,1,0,0.00,4,0,0.0,0.73,0.00,0.00,,0,0,4,6,4,6,1,0,0,2,0,,,,,,,,,,,,,,
62,Ilias Akhomach,ma MAR,MF,Villarreal,es La Liga,22.0,2004,9,2,188,2.1,0,0,0,0,0,0,0,0,0.00,6,2,33.3,2.87,0.96,0.00,0.00,0,0,9,4,0,7,0,0,0,9,0,,,,,,,,,,,,,,
63,Ilias Akhomach,ma MAR,"MF,FW",Rayo Vallecano,es La Liga,22.0,2004,11,7,709,7.9,0,1,1,0,0,0,2,0,0.13,18,6,33.3,2.28,0.76,0.00,0.00,0,0,22,10,2,29,2,0,0,9,0,,,,,,,,,,,,,,
64,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,it Serie A,21.0,2004,21,13,1269,14.1,0,1,1,0,0,0,2,0,0.07,13,3,23.1,0.92,0.21,0.00,0.00,0,0,9,21,24,26,2,0,0,28,0,,,,,,,,,,,,,,
65,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,24.0,2002,29,26,2244,24.9,6,6,12,6,0,0,3,0,0.48,46,18,39.1,1.84,0.72,0.13,0.33,0,0,48,23,16,35,3,0,0,26,0,,,,,,,,,,,,,,
66,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,24.0,2001,25,21,1866,20.7,0,0,0,0,0,0,4,1,0.00,6,0,0.0,0.29,0.00,0.00,,0,0,30,19,23,30,4,1,1,11,2,,,,,,,,,,,,,,
67,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,it Serie A,33.0,1992,19,15,1305,14.5,1,0,1,1,0,0,9,0,0.07,13,4,30.8,0.90,0.28,0.08,0.25,0,0,16,28,19,14,9,0,0,37,0,,,,,,,,,,,,,,
68,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,31.0,1995,7,1,46,0.5,0,0,0,0,0,0,0,1,0.00,0,0,,0.00,0.00,,,0,0,0,1,1,0,0,1,0,1,0,,,,,,,,,,,,,,
69,Al-Musrati,ly LBY,MF,Hellas Verona,it Serie A,30.0,1996,17,8,811,9.0,0,1,1,0,0,0,6,1,0.11,8,1,12.5,0.89,0.11,0.00,0.00,0,0,2,6,10,2,6,1,1,15,0,,,,,,,,,,,,,,
70,David Alaba,at AUT,DF,Real Madrid,es La Liga,33.0,1992,9,3,265,2.9,0,0,0,0,0,0,1,0,0.00,3,1,33.3,1.02,0.34,0.00,0.00,0,0,0,4,0,0,1,0,0,1,0,,,,,,,,,,,,,,
71,Agustín Albarracín,uy URU,FW,Cagliari,it Serie A,20.0,2005,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,1,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,
72,Mathis Albert,us USA,FW,Dortmund,de Bundesliga,16.0,2009,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,1,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,
73,Raúl Albiol,es ESP,DF,Pisa,it Serie A,40.0,1985,8,5,500,5.6,0,1,1,0,0,0,1,0,0.18,1,0,0.0,0.18,0.00,0.00,,0,0,1,4,7,2,1,0,0,6,0,,,,,,,,,,,,,,
74,Carlos Alcaraz,ar ARG,MF,Everton,eng Premier League,23.0,2002,18,6,681,7.6,0,1,1,0,0,0,4,0,0.13,18,5,27.8,2.38,0.66,0.00,0.00,0,0,5,8,2,11,4,0,0,9,0,,,,,,,,,,,,,,
75,Omar Alderete,py PAR,DF,Sunderland,eng Premier League,29.0,1996,31,30,2686,29.8,1,1,2,1,0,0,6,0,0.07,23,9,39.1,0.77,0.30,0.04,0.11,0,0,11,17,33,9,6,0,0,33,0,,,,,,,,,,,,,,
76,Alexandre Alemão,br BRA,FW,Rayo Vallecano,es La Liga,28.0,1998,22,10,969,10.8,2,0,2,2,0,0,3,0,0.19,19,9,47.4,1.76,0.84,0.11,0.22,0,0,4,2,1,20,3,0,0,19,0,,,,,,,,,,,,,,
77,Carles Aleñá,es ESP,MF,Alavés,es La Liga,28.0,1998,34,23,1989,22.1,0,4,4,0,0,0,5,0,0.18,29,5,17.2,1.31,0.23,0.00,0.00,0,0,121,24,12,36,5,0,0,38,0,,,,,,,,,,,,,,
78,Trent Alexander-Arnold,eng ENG,DF,Real Madrid,es La Liga,27.0,1998,18,12,996,11.1,0,4,4,0,0,0,3,0,0.36,8,1,12.5,0.72,0.09,0.00,0.00,0,0,109,7,12,0,3,0,0,10,0,,,,,,,,,,,,,,
79,Alfon,es ESP,MF,Villarreal,es La Liga,27.0,1999,8,2,226,2.5,1,0,1,1,0,0,0,0,0.40,6,3,50.0,2.39,1.19,0.17,0.33,0,0,3,0,2,0,0,0,0,6,0,,,,,,,,,,,,,,
80,Alfon,es ESP,MF,Sevilla,es La Liga,27.0,1999,10,4,312,3.5,1,0,1,1,0,0,0,0,0.29,11,7,63.6,3.17,2.02,0.09,0.14,0,0,4,0,1,6,0,0,0,3,0,,,,,,,,,,,,,,
81,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,22.0,2004,22,19,1547,17.2,4,3,7,4,0,0,1,0,0.41,27,12,44.4,1.57,0.70,0.15,0.33,0,0,38,9,4,30,1,0,0,14,0,,,,,,,,,,,,,,
82,Alisson,br BRA,GK,Liverpool,eng Premier League,33.0,1992,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,7,1,0,0,1,0,30,1.20,84,56,66.7,13,7,5,8,32.0,2,2,0,0
83,Jim Allevinah,ga GAB,MF,Angers,fr Ligue 1,31.0,1995,6,0,133,1.5,1,0,1,1,0,0,0,0,0.68,5,1,20.0,3.38,0.68,0.20,1.00,0,0,1,1,0,4,0,0,0,0,0,,,,,,,,,,,,,,
84,Max Alleyne,eng ENG,DF,Manchester City,eng Premier League,20.0,2005,2,2,135,1.5,0,0,0,0,0,0,0,0,0.00,2,1,50.0,1.33,0.67,0.00,0.00,0,0,0,3,3,0,0,0,0,0,0,,,,,,,,,,,,,,
85,Thiago Almada,ar ARG,"MF,FW",Atlético Madrid,es La Liga,25.0,2001,24,15,1191,13.2,3,1,4,3,0,0,2,1,0.30,20,10,50.0,1.51,0.76,0.15,0.30,0,0,35,16,7,16,2,1,0,12,0,,,,,,,,,,,,,,
86,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,25.0,2000,20,11,1008,11.2,0,1,1,0,0,0,0,0,0.09,9,3,33.3,0.80,0.27,0.00,0.00,0,0,64,10,8,21,0,0,0,12,0,,,,,,,,,,,,,,
87,Pontus Almqvist,se SWE,MF,Parma,it Serie A,26.0,1999,11,4,426,4.7,0,0,0,0,0,0,0,0,0.00,3,2,66.7,0.63,0.42,0.00,0.00,0,0,6,6,6,12,0,0,0,6,0,,,,,,,,,,,,,,
88,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,35.0,1990,28,27,2408,26.8,1,0,1,0,1,1,5,0,0.00,22,3,13.6,0.82,0.11,0.00,0.00,1,1,17,21,29,18,5,0,0,21,0,,,,,,,,,,,,,,
89,Adrià Altimira,es ESP,"DF,MF",Villarreal,es La Liga,25.0,2001,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
90,Sergi Altimira,es ESP,MF,Real Betis,es La Liga,24.0,2001,22,12,1110,12.3,1,1,2,1,0,0,3,0,0.16,5,2,40.0,0.41,0.16,0.20,0.50,0,0,3,30,19,20,3,0,0,12,0,,,,,,,,,,,,,,
91,Carlos Álvarez,es ESP,MF,Levante,es La Liga,22.0,2003,30,23,1890,21.0,3,1,4,3,0,0,3,0,0.19,30,11,36.7,1.43,0.52,0.10,0.27,0,0,54,13,13,49,3,0,0,22,0,,,,,,,,,,,,,,
92,Hugo Álvarez,es ESP,"FW,MF",Celta Vigo,es La Liga,22.0,2003,24,14,1218,13.5,4,1,5,4,0,0,2,0,0.37,11,6,54.5,0.81,0.44,0.36,0.67,0,0,22,9,10,15,2,0,0,15,0,,,,,,,,,,,,,,
93,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,26.0,2000,29,22,1895,21.1,8,4,12,6,2,3,2,0,0.47,54,26,48.1,2.56,1.23,0.11,0.23,2,3,86,13,3,18,2,0,0,14,0,,,,,,,,,,,,,,
94,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,31.0,1995,3,3,243,2.7,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,1,1,5,0,0,0,0,1,0,,,,,,,,,,,,,,
95,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,24.0,2002,2,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,
96,Ayoube Amaimouni Echghouyab,ma MAR,"MF,FW",Eintracht Frankfurt,de Bundesliga,21.0,2004,17,6,586,6.5,2,3,5,2,0,0,1,0,0.77,12,7,58.3,1.84,1.08,0.17,0.29,0,0,30,5,2,10,1,0,0,8,0,,,,,,,,,,,,,,
97,Jaydon Amauri Banel,nl NED,"FW,MF",Burnley,eng Premier League,21.0,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
98,Giuseppe Ambrosino,it ITA,FW,Napoli,it Serie A,22.0,2003,3,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,
99,Zeki Amdouni,ch SUI,"FW,MF",Burnley,eng Premier League,25.0,2000,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,1,0,0.0,6.00,0.00,0.00,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
100,Aurele Amenda,ch SUI,DF,Eintracht Frankfurt,de Bundesliga,22.0,2003,23,17,1588,17.6,0,0,0,0,0,0,4,0,0.00,10,2,20.0,0.57,0.11,0.00,0.00,0,0,5,11,29,11,4,0,0,18,1,,,,,,,,,,,,,,
101,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,28.0,1998,23,22,1961,21.8,0,1,1,0,0,0,3,0,0.05,10,2,20.0,0.46,0.09,0.00,0.00,0,0,29,18,8,18,3,0,0,23,0,,,,,,,,,,,,,,
102,Mohamed Amine Sbai,fr FRA,"MF,FW",Angers,fr Ligue 1,25.0,2000,24,22,1728,19.2,2,1,3,2,0,1,3,1,0.16,32,15,46.9,1.67,0.78,0.06,0.13,0,1,58,10,4,22,3,1,1,15,0,,,,,,,,,,,,,,
103,Michael Amir Murillo,pa PAN,"DF,MF",Marseille,fr Ligue 1,30.0,1996,16,11,989,11.0,2,1,3,2,0,0,4,0,0.27,9,2,22.2,0.82,0.18,0.22,1.00,0,0,28,13,6,16,4,0,0,22,0,,,,,,,,,,,,,,
